MUNICIPIO,"Ks,0
diversidad","Ks,2","Ks,4","Ks,6","Ks,8","Ks,10","Ks,12","Ks,14","Ks,16","Ks,18","Ks,20","Ks,22","Ks,24","Ks,26"
Tepeji Del Rio De Ocampo,92,84.01730072,77.06363672,71.16154603,66.31054509,62.41912127,59.35110135,56.96189373,55.11765272,53.70309697,52.62310256,51.80130066,51.17749308,50.70482319
Atitalaquia,47,60.74476528,64.65091142,64.40646304,62.56851519,60.30674964,58.13209255,56.23938991,54.6754537,53.4221975,52.43725824,51.67314312,51.08558991,50.63661891
Tepeapulco,41,44.37439024,47.11005993,48.95645508,50.08942668,50.72290976,51.02644118,51.12015028,51.08554787,50.97675175,50.82912608,50.66537683,50.49972257,50.3407206
Tizayuca,119,92.6900212,77.93787128,68.93978886,63.1308859,59.22479238,56.51763094,54.59839763,53.21447212,52.20387608,51.45900414,50.90623728,50.49399072,50.1854297
Mineral De La Reforma,76,71.51460575,67.1666624,63.30821696,60.10644706,57.55063544,55.55645405,54.02174525,52.85062421,51.96171627,51.28932912,50.78187204,50.39947653,50.11163293
Pachuca,125,91.0179351,74.20517543,65.06185283,59.73662262,56.45106567,54.3236061,52.8913522,51.89767548,51.19261355,50.68408614,50.31298839,50.03992426,49.83782108
Tula De Allende,40,51.37064762,53.4302078,53.05969244,52.250749,51.51079666,50.93134808,50.49845177,50.17929193,49.94414667,49.77022694,49.64092929,49.54432082,49.47181671
Atotonilco De Tula,40,47.24594524,49.46630332,49.99210981,49.99967473,49.87944819,49.75146427,49.64550056,49.56363078,49.50116605,49.4530354,49.41529508,49.38517029,49.36076454
Tolcayuca,15,36.02273265,44.69360678,48.14253115,49.41256151,49.79324269,49.82982836,49.74954874,49.64357165,49.545425,49.4648808,49.40249499,49.35572143,49.32137364
Tlahuelilpan,7,43.2755418,49.86402897,50.47607396,50.11174757,49.75830384,49.5377288,49.41660025,49.35356546,49.3213467,49.30455471,49.29511267,49.28899413,49.28429893
Lugo Guerrero,21,40.53703533,47.14397158,49.09928156,49.54847688,49.56294448,49.48307169,49.40507038,49.34842185,49.31136658,49.28819593,49.27393378,49.26511901,49.25955748
Nopala,5,41.90969697,49.1164197,49.95731734,49.68098271,49.37576458,49.19375651,49.10876198,49.08041839,49.08108085,49.09488662,49.11343866,49.13256166,49.15034575
Tulancingo De Bravo,45,44.13588503,45.93643657,47.1852178,47.89417991,48.29819156,48.54466607,48.70864395,48.82631905,48.91524399,48.98441453,49.03894025,49.08211473,49.11630731
Singuilucan,11,29.77395382,38.90492701,43.46071415,45.79691204,47.04515091,47.75139457,48.17923968,48.45700105,48.64848762,48.78666832,48.88956491,48.96774645,49.02789029
